Genotype,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34,L35,L36,L37,L38,L39,L40,L41,L42,L43,L44,L45,L46,L47,L48,L49,L50,L51,L52,L53,L54,L55,L56,L57,L58,L59,L60,Environment
G32,58.8219,57.0962,55.5328,57.3977,57.1688,56.8597,56.6153,57.3359,56.7332,57.3332,55.1492,56.461,57.3018,55.9709,54.7296,57.2946,57.0372,55.4281,57.3432,56.7399,56.6682,56.8029,57.3966,57.0675,57.327,56.9057,57.2681,55.7724,55.3795,56.2433,56.885,56.0261,56.8077,57.8589,57.3507,57.1367,55.151,56.2441,57.7216,56.45,55.7604,57.3735,56.4736,55.8694,55.8005,56.2363,57.4952,59.4531,57.2583,58.331,58.7426,55.2826,57.2866,57.1195,54.2022,56.6714,57.1791,56.6499,56.6994,57.7724,Environment_2
G33,57.3928,57.9519,59.5773,55.7801,58.3026,57.4006,59.3581,57.6271,56.3001,59.5714,57.2082,58.3251,58.3222,57.595,60.6722,56.6238,59.2763,57.5883,59.2228,58.8607,59.3593,58.6601,58.0177,59.5339,57.1755,58.0763,60.7507,58.667,58.2321,58.8114,56.3429,58.62,58.9236,59.234,58.1715,59.8431,58.2178,58.7247,59.6175,60.6292,57.2713,56.8992,57.6976,58.6328,57.3916,58.3856,57.3586,58.3899,59.0311,58.1459,58.5865,59.0483,58.5825,59.2279,58.5308,59.1438,58.4526,59.3776,58.6046,56.6232,Environment_2
G34,58.5351,58.1575,58.4808,58.8246,59.4036,61.0611,59.92,58.9262,57.5303,59.63,59.301,58.8588,55.3308,58.5397,58.4968,55.6294,57.8501,60.3503,57.7184,59.6785,56.6663,58.4399,58.3557,58.6216,57.2019,58.3645,57.073,59.0993,58.7192,58.7946,58.6805,59.2623,57.9737,57.5159,56.6314,58.5003,57.1623,56.0561,57.9736,57.2769,57.2449,57.9486,58.0782,58.2565,57.0069,59.2514,58.2251,57.6651,58.4473,56.909,57.8386,56.9637,56.2034,57.6451,57.3188,57.6512,58.9719,57.0674,57.7405,58.5366,Environment_2
G35,56.5085,56.0832,57.5646,58.3043,57.6392,56.3021,58.1388,56.5436,57.9885,56.8908,57.5827,56.651,57.0484,56.0559,58.5419,55.9602,57.4858,57.1845,57.6935,56.3232,55.3056,58.5471,57.1384,56.7021,57.9925,57.3338,56.6743,57.5388,57.7463,57.4755,57.9181,57.9987,58.0306,57.7933,56.1603,59.7481,57.7349,58.8556,56.9787,55.7498,57.3181,56.5945,57.1726,57.2842,56.8111,57.4546,57.0181,56.0935,55.2478,56.4514,56.5456,58.183,56.8719,57.0542,57.7835,58.7235,56.3532,56.8357,57.0245,55.7216,Environment_2
G36,58.5034,56.6518,56.7794,57.9027,58.8514,55.2614,55.0623,56.7704,55.5093,55.6534,57.1948,56.0601,59.5135,56.8385,57.3479,57.8374,56.1201,56.443,57.8081,57.6067,57.6065,57.4064,55.9475,58.091,56.6176,57.9988,57.42,58.7796,56.1829,55.5191,57.1576,58.5034,58.6741,57.7685,56.8242,57.8604,57.1407,57.0983,56.4052,57.2248,57.6073,56.0211,57.8127,56.8902,57.6561,58.4295,56.8386,58.5983,57.8571,57.5652,58.2077,58.4001,56.1646,56.6028,55.5029,57.4822,58.33,56.9447,59.0327,59.0821,Environment_2
G37,58.2556,58.6041,59.0747,56.9994,57.2967,58.0342,60.0545,57.8285,58.5541,57.3551,59.5923,58.2879,57.6905,57.0461,57.5364,57.5036,57.0489,59.4792,59.5077,57.5918,58.5262,59.4298,58.822,58.5579,58.5667,58.7944,56.4904,57.325,57.8903,58.8072,57.4838,58.2408,59.7201,59.2458,58.7877,57.8276,58.3644,58.4107,58.3713,56.2244,58.7561,58.0277,57.878,58.9105,59.6341,56.5025,59.6814,57.4149,58.0196,57.8993,57.872,58.9804,58.4558,58.3469,58.9127,59.2099,58.5974,58.4278,58.2876,57.7643,Environment_2
G38,56.86,57.034,57.7171,56.8247,59.8281,58.7824,57.8289,56.3206,56.9466,57.7608,57.8695,56.1616,57.654,57.6075,56.0898,59.0966,57.7161,59.4814,56.7438,57.824,58.6724,60.4237,56.8877,57.9478,57.3539,56.1584,58.6247,56.4271,58.7829,58.099,57.7435,57.7978,58.2234,57.3961,59.4621,56.7807,58.5377,56.7338,55.93,55.5052,57.3801,57.3037,56.0644,57.2937,56.3509,56.9693,56.6555,57.8033,58.2908,54.9927,57.6382,58.1928,58.9792,57.4577,58.6497,56.157,57.6729,56.5941,57.9689,58.4651,Environment_2
G39,57.2879,58.49,57.6212,57.3727,57.6048,57.0071,58.7976,57.6517,59.9092,57.903,58.5498,57.3534,58.491,58.0203,56.3531,56.947,57.9391,58.9337,58.4824,58.3123,56.4444,56.7464,56.8179,57.0608,57.6282,57.8845,57.8719,58.2619,57.8272,58.2818,58.2144,57.0093,57.3147,56.7583,57.3631,59.1319,58.4593,57.0586,56.7557,56.5602,57.5145,58.9409,58.2562,59.0252,56.6498,58.3712,58.9614,57.2207,57.0639,58.4198,57.162,59.2581,57.508,60.0341,57.5132,58.0669,57.8753,58.3893,58.5727,57.7516,Environment_2
G40,57.7608,58.5399,55.0464,57.1145,56.9353,55.3545,56.1602,57.7053,57.5665,56.3738,58.0221,56.1213,56.0272,55.6846,57.9221,56.0001,57.5141,54.5824,57.9144,57.3507,55.9338,56.2545,57.6227,57.2852,56.5326,54.9878,57.4254,57.5474,56.5033,57.8819,57.2356,57.1685,59.4569,56.8597,59.0883,56.0975,58.4671,56.0889,58.1632,58.2176,58.1077,57.8848,56.8792,56.4293,57.4557,58.0746,56.7024,56.8921,57.7263,57.4685,56.5412,59.1991,57.0394,58.813,57.3632,57.2365,58.0539,57.798,58.5752,58.4256,Environment_2
G41,58.0102,57.8174,57.647,57.3024,57.695,57.3961,56.1824,56.8039,55.9536,59.0316,57.8016,56.36,59.4039,58.9759,56.9145,58.8706,58.2216,56.7987,58.1199,58.2026,57.9494,58.4697,57.6978,56.7478,58.5536,58.608,56.7508,57.1588,57.248,58.9867,56.3958,58.3719,57.3579,57.9193,58.8228,58.0498,56.8535,56.4988,57.7404,56.8585,57.8143,57.8848,56.7041,57.1103,56.8227,58.2798,56.2041,57.31,57.2725,56.0646,57.5963,57.0634,58.3903,56.637,57.238,58.0002,59.1937,58.8322,56.588,57.6408,Environment_2
G42,57.2333,59.3824,59.0038,61.3597,59.6511,57.7805,58.0592,59.1841,58.8875,57.2366,60.6636,58.6464,57.0117,58.0848,58.9395,56.7354,58.3028,57.9989,59.9701,59.3025,58.6776,60.36,57.549,58.9228,56.6208,59.484,59.4818,58.8011,59.231,57.3414,58.3908,57.3376,58.9607,57.7306,60.5283,59.2401,57.9352,57.0809,58.7277,59.4355,57.7036,58.9227,59.3346,58.3691,57.1093,59.9364,58.6709,59.2743,58.7457,58.0506,59.5857,58.9158,57.7351,59.5707,58.6441,57.7368,59.0493,58.5705,58.5633,58.5915,Environment_2
G43,59.5172,56.5237,58.7349,58.5563,57.0034,56.1263,58.3093,58.0151,56.9265,57.7069,57.4624,58.7109,58.1883,59.6879,56.985,57.4073,58.4789,57.3066,57.0851,57.1659,58.0784,56.1158,58.8733,56.5968,57.8057,57.0074,57.5557,58.2765,57.426,58.1397,56.5241,57.7164,56.7903,55.8658,56.622,58.2544,57.378,55.7438,57.2241,58.8425,58.0011,57.1424,57.8483,58.1472,57.3237,58.1005,58.9712,56.956,59.8646,57.4034,57.4788,57.0328,57.9403,56.8848,55.6481,57.5042,57.4077,57.7806,56.5587,56.7355,Environment_2
G44,57.7032,58.5344,57.0718,57.488,57.6528,56.7803,56.0706,59.1687,57.1428,57.6847,57.9299,57.1376,57.3891,58.5916,58.2137,58.8454,58.5537,57.706,56.9477,58.4323,56.5048,57.3873,58.5814,57.9856,57.7644,56.5553,57.8526,58.359,57.1932,59.5047,58.3473,57.9323,58.2443,59.103,58.3877,56.4921,57.3373,57.3503,57.6045,57.8207,58.1864,60.0189,56.8138,57.6575,56.8838,59.0258,59.2467,59.0279,56.0819,58.2615,57.7153,58.1578,57.5818,57.4307,58.6994,55.6734,57.5179,55.8562,56.8455,59.0461,Environment_2
G45,57.3102,57.8721,55.8287,57.0576,57.174,58.2012,55.6545,56.6836,56.2786,56.0959,56.5551,57.8123,57.4537,56.0127,58.0716,57.8632,57.1965,56.5665,56.09,55.7257,58.2085,55.1999,57.3273,56.9831,54.9525,55.2942,55.785,56.0361,55.2459,57.0018,55.7053,56.9177,56.3757,55.7792,57.4422,56.9367,56.559,57.3127,58.3458,56.9597,57.9227,57.5657,57.8449,58.4145,56.4713,56.3434,56.1648,57.0319,55.4475,57.4447,57.8388,56.5177,57.6003,57.0358,57.3394,55.8068,57.4981,57.3098,57.7279,58.013,Environment_2
G46,56.8181,57.3914,57.1883,58.0227,56.6997,58.6341,56.4479,58.0289,57.8393,57.5445,57.1031,56.5359,58.3601,57.2571,56.9704,57.8911,55.9215,58.1385,56.4372,57.8949,58.3781,58.2415,56.9165,55.5429,56.9582,57.3474,57.0999,58.0642,57.9991,57.0586,57.635,56.8423,57.9907,55.9999,57.6856,57.2979,57.7937,57.0816,59.1756,56.5694,57.0371,55.813,55.2018,57.2869,58.9588,57.3944,56.0939,56.5314,57.3982,57.1754,56.5031,58.0556,56.9984,57.444,57.3718,58.5114,57.4657,57.8043,57.137,57.7542,Environment_2
G47,58.5607,57.0696,57.6508,59.8134,58.4509,59.285,58.4472,58.9807,59.6381,57.6097,59.0764,58.9834,58.1775,57.5159,59.1176,56.7955,60.3149,59.3801,57.6531,57.8969,59.3543,58.4345,58.2281,58.1395,58.4458,58.4598,58.3387,57.5488,57.9783,58.6419,56.0401,59.0823,58.0974,56.5775,57.861,58.6399,58.0194,59.2621,58.0305,58.3562,58.409,57.6235,58.4093,58.0134,57.2289,58.1168,57.6565,57.1054,57.4998,60.4276,59.64,58.1131,57.7368,58.8664,57.511,58.1093,58.7762,57.7538,57.7582,58.5845,Environment_2
G48,58.5166,58.7745,58.2166,57.0793,56.7439,59.0039,58.055,58.1846,58.4823,59.4361,56.0748,58.3445,57.8688,57.6996,58.7714,57.9354,58.0998,58.3394,59.3592,58.5736,57.6797,58.8448,59.0729,59.5385,58.2769,57.1435,58.2985,60.077,58.3253,57.4763,59.6296,57.3778,58.7172,58.2319,58.0736,58.0766,58.1954,57.5683,59.5771,59.0982,55.3202,59.2803,56.9126,58.2293,57.5547,57.7117,56.5411,57.5133,58.647,58.599,58.0331,58.1348,57.4571,57.0972,57.9054,58.6567,59.6249,56.6159,56.7266,58.0423,Environment_2
G49,55.7663,59.8544,58.069,58.6978,57.114,58.149,58.7083,58.3262,57.7506,57.5804,55.0577,56.9492,58.0147,59.6904,56.3255,58.6963,57.9027,59.1283,57.826,57.5255,57.8902,57.5292,57.0705,59.8903,57.6988,58.1983,60.3108,58.4261,55.9257,59.7844,58.1812,57.0753,58.2969,58.1804,56.75,56.085,58.1212,57.4456,58.6131,56.7604,58.2953,56.6521,58.8769,55.9107,57.7767,58.7619,58.3149,57.9642,58.1447,58.5789,57.4851,58.5807,56.5169,59.142,58.0796,58.1081,58.3507,57.4371,57.5094,57.3294,Environment_2
G50,57.7827,58.719,59.1408,59.7812,58.3598,58.4925,58.669,57.0012,58.0633,56.5083,57.6956,58.0786,58.4245,58.4193,57.9974,57.2889,58.1713,58.8306,56.0097,58.3798,58.5491,59.0296,58.4423,58.6223,60.3345,57.93,59.876,58.2397,58.0619,57.4503,58.0825,56.8693,59.1218,56.1329,56.5496,58.0503,57.949,57.6382,57.4715,57.8007,57.4456,56.736,59.1819,59.1631,56.0474,57.1009,56.781,58.9554,58.3665,58.8663,57.7489,59.0989,57.0256,55.2403,59.1591,58.4279,57.8158,59.3602,58.7958,58.8285,Environment_2
G51,56.3771,57.1906,56.6712,56.5092,54.9306,57.1827,56.5848,56.3851,56.223,56.6007,56.9267,57.4995,54.8578,55.7067,57.2549,55.4709,58.4747,55.103,57.2274,56.1097,54.5665,57.2408,58.5672,57.3535,56.3982,57.0527,56.4896,55.8637,58.0133,57.1515,56.6205,56.7548,57.4598,56.6207,57.9156,56.4537,57.5131,58.4757,57.1242,58.3997,57.0858,55.4075,56.0481,57.5472,57.1657,57.1826,56.4066,57.3826,57.5817,56.0376,57.0501,56.4301,57.0526,57.4853,57.0591,56.1094,55.2516,58.8306,57.0434,57.7571,Environment_2
G52,56.8153,56.8663,59.1294,55.2085,57.6495,57.4049,57.0478,57.0702,58.714,56.8505,55.6144,57.8117,57.6581,56.2074,57.4544,58.9582,57.035,57.2019,58.6301,58.2152,59.1286,58.0573,57.9266,57.6552,57.436,57.2716,57.6537,56.8768,58.3479,55.8606,58.601,58.947,58.6479,58.7156,58.1165,57.0645,57.5328,56.3081,57.7112,57.9628,55.5464,56.9626,57.6734,55.708,57.0583,57.1491,55.4612,57.1008,58.557,57.0308,58.4331,56.5072,56.7246,56.1679,59.7131,57.7334,58.7923,59.1459,57.4923,58.4731,Environment_2
G53,59.1361,58.2463,56.7683,56.4451,57.8734,57.3435,57.5424,56.2581,56.3973,59.1713,57.3225,57.5474,58.4475,57.0911,56.6072,56.1475,59.4404,58.1944,58.5215,57.4492,57.8439,57.9159,58.0724,57.7226,55.7405,57.7655,57.1591,57.0794,57.856,57.884,56.4129,56.6009,57.5307,58.2494,56.729,58.2473,56.1139,59.2604,57.9833,57.3592,58.4323,58.0765,59.0423,57.6551,57.6347,57.8641,59.2894,58.3667,58.7002,58.5397,58.8772,57.0874,58.3231,57.6084,57.8307,55.6262,56.8445,57.6688,58.8055,56.5468,Environment_2
G54,56.4971,55.0887,56.7886,56.7468,56.5905,56.4114,55.7784,57.0252,56.4018,56.8452,58.2604,58.0994,56.5906,57.0399,56.6908,57.1401,56.2833,56.9091,56.0013,56.9342,57.0546,56.3495,58.8794,56.0308,58.0091,54.9371,56.8951,56.9843,58.497,57.3183,59.1109,54.8919,58.65,57.0769,58.0442,55.2459,58.4265,56.6444,58.1884,57.5809,55.9935,56.4536,56.918,56.5482,56.4961,56.2138,55.7626,55.4079,56.4436,57.3385,55.8184,56.5414,58.0167,58.0374,58.4322,57.0592,56.0031,55.8988,56.758,58.0333,Environment_2
G55,56.6636,56.2295,56.472,56.6444,57.2154,57.227,57.6635,58.1438,58.1675,56.8506,56.0389,56.3481,56.719,57.0159,57.0594,58.1657,56.6044,57.6312,57.7088,55.8721,57.8375,56.3568,54.6699,56.5037,55.7244,56.766,55.5689,57.6829,57.5252,57.4377,55.9684,55.8697,56.2874,55.0907,56.8367,56.5483,57.9773,55.581,58.0501,56.3059,56.6467,57.1005,57.873,57.1249,55.4696,56.8706,58.6893,57.5879,56.2465,57.7034,56.7575,58.1719,56.8677,56.7673,56.9688,56.1694,55.146,55.4873,55.1742,55.1399,Environment_2
G56,56.9523,58.2183,56.0994,58.5552,56.8702,57.8089,58.3817,56.2401,58.2621,58.9003,58.8653,57.3666,56.609,58.7169,58.2621,58.3924,55.8536,59.1282,56.2751,57.7564,57.579,56.7427,58.0934,57.5216,58.1013,58.5835,57.403,58.2206,58.8478,57.3877,58.6168,58.9976,58.1517,60.5868,57.8944,59.1702,59.6058,57.548,59.1713,58.198,56.5419,58.9084,58.6346,59.1938,57.3166,58.2148,57.8,59.1386,58.6596,56.9834,58.2416,56.0814,57.824,58.7602,58.4047,58.5807,58.1701,59.7742,59.6685,57.4932,Environment_2
G57,58.02,59.2313,58.337,60.3411,57.8075,59.2592,60.1593,59.3706,58.5348,57.9799,58.9056,60.4068,59.1182,57.53,59.2528,58.7309,59.0864,59.0858,57.9614,58.059,57.7858,59.1493,59.1901,59.4222,57.6226,59.8963,59.0851,59.0052,59.1047,59.1414,59.7688,60.3428,58.3087,58.709,57.166,59.3782,58.2889,58.9672,59.0133,58.7089,58.1618,59.8415,59.1787,59.5433,58.4369,58.2793,60.0561,59.1445,58.3601,57.8767,58.981,59.3307,58.2643,59.4008,57.9917,59.4421,58.0215,59.4932,59.2311,57.3785,Environment_2
G58,57.5354,58.5059,57.6912,57.2092,57.6726,57.8423,56.5039,58.1226,56.9806,59.2246,57.7788,56.9078,59.0329,56.9438,57.1129,59.1433,57.3417,58.9492,57.7961,57.7438,58.9915,56.0727,58.5048,60.8402,55.4496,57.4474,58.4979,59.005,59.4807,58.2233,57.0794,57.1009,56.7473,57.3266,55.9181,59.0247,58.1605,57.1973,57.8182,58.3865,58.8617,58.5042,58.9417,57.182,56.9459,57.8764,59.1257,57.7929,58.0762,56.0636,58.3509,56.8867,57.913,58.1811,56.8855,56.4335,58.4237,58.4663,57.8943,57.2589,Environment_2
G59,57.996,58.8695,56.9766,57.8258,59.0673,58.1216,57.3944,59.3504,57.5688,58.376,57.5479,59.0454,58.7907,58.0977,58.1675,58.6947,55.8158,56.2425,57.416,59.938,59.7096,60.3843,56.1396,58.6328,58.1251,58.014,58.1761,56.9828,57.8563,59.0568,57.6943,59.0808,57.7251,58.4883,57.7044,59.2392,58.2002,58.2179,59.7227,57.2306,60.5395,57.908,58.667,57.5067,58.1532,57.8422,57.8923,59.3387,57.2898,59.7527,57.4412,59.1422,58.6287,57.5352,57.429,59.2612,60.195,58.3645,56.4335,58.7361,Environment_2
G60,56.919,57.6123,57.5955,56.1236,56.7764,56.8856,55.7694,56.0978,57.4216,58.2156,56.766,57.1216,58.151,56.7948,56.6564,57.1977,56.1251,57.4442,57.6351,56.0336,57.5966,58.6346,57.9721,57.383,58.0992,57.6325,56.3773,58.4896,56.6166,58.5927,56.4222,57.1066,56.8133,57.0985,56.511,56.9978,56.6759,57.8789,56.4523,57.37,57.9308,57.8652,57.837,57.7701,55.873,57.1861,57.3091,57.8487,58.8516,56.4399,56.5448,57.7794,56.1687,58.416,55.9069,56.9035,57.7848,57.4012,57.9885,56.9331,Environment_2
G61,56.886,56.158,56.9655,57.4053,58.3307,58.4458,58.8817,56.3059,57.8313,57.965,59.0867,57.6744,57.6035,58.8919,59.5838,57.4905,58.2571,57.4027,57.1949,58.1174,58.6807,57.0203,57.935,56.8323,58.6466,57.338,58.1351,57.7792,59.2505,57.3899,57.5428,58.1058,57.3922,58.2753,56.8259,58.1866,57.5994,56.9033,57.8028,57.5755,57.7801,59.8435,56.5298,58.7177,58.2689,57.7874,60.0659,56.5382,58.1309,56.3293,56.8625,59.2587,58.9707,58.1101,57.1455,57.4957,56.5157,58.4804,60.0493,57.5548,Environment_2
G62,58.0243,55.0099,58.0393,58.4646,57.1403,57.6862,56.1484,56.891,56.3208,56.3792,57.8449,57.9915,57.2616,56.7162,58.1256,56.996,58.1064,58.6799,58.0994,56.8077,56.4229,57.0638,56.947,54.8492,57.5654,55.7416,56.9842,56.9176,57.7598,57.661,57.0506,57.7636,58.3351,57.5053,56.1556,57.2863,57.8647,56.4503,57.4363,57.8795,57.7085,56.9102,57.9396,58.1256,56.7933,56.8668,57.3945,58.0038,55.2067,59.0764,57.6049,56.9272,57.3329,56.064,56.6091,57.4237,59.0063,55.7187,58.7653,56.1335,Environment_2
G63,58.0511,57.4436,57.2302,57.4751,57.7416,55.8627,58.6416,57.6732,58.3474,57.6632,57.4316,56.3823,58.8615,58.3773,57.9941,56.8509,55.4716,57.0845,57.4669,55.9952,57.3304,56.9664,57.5314,55.9628,58.896,57.2294,56.9819,58.8786,59.0073,58.2055,57.6559,58.3192,57.9019,56.6228,57.7498,56.0293,59.5243,58.914,59.17,54.8449,58.4835,58.4119,57.2384,57.3384,56.6324,58.0898,56.6394,56.9368,57.5083,58.3039,56.3598,58.3697,56.2167,56.1484,56.0404,58.499,57.326,57.7112,56.9477,57.4383,Environment_2
G64,55.3628,56.2529,56.3687,56.3499,57.1785,54.3596,55.5412,56.4081,56.9639,56.1944,57.9676,55.4693,57.0523,57.2435,56.1648,56.1225,58.2522,57.4944,57.0211,57.3742,57.1463,58.0187,58.1326,56.5552,55.4719,56.7527,55.0715,58.7643,58.3081,57.7155,56.3336,55.3754,56.2444,57.1249,57.3082,56.2268,56.7667,57.4799,57.4272,56.9602,56.4131,55.8317,56.4173,57.2441,56.2634,58.8985,57.0199,58.281,55.3267,57.9452,56.1465,58.1285,57.1571,58.6928,57.1352,58.2305,57.5151,56.6426,57.4908,56.6893,Environment_2
G65,57.5506,58.3398,58.196,57.6992,57.1366,59.2667,58.8167,56.2591,55.8387,57.9243,57.6187,58.1676,57.4111,56.3122,59.1229,58.865,57.8695,55.9192,56.8751,56.3353,57.4251,56.3576,56.6465,57.1373,58.4684,57.0611,57.1037,55.8778,58.3601,57.8089,58.1396,58.0834,57.1343,56.7821,56.5651,56.8342,55.258,56.1909,56.6513,56.0167,57.1831,59.5953,56.6196,56.8187,57.5086,55.7803,56.8533,54.916,56.6156,56.2636,57.09,57.5955,58.2064,57.6262,57.5174,57.8546,57.537,56.7347,57.0957,56.7906,Environment_2
G66,57.283,58.3802,58.3758,58.7404,58.2401,57.2837,57.85,56.8843,58.4208,57.7069,56.8045,56.6523,57.8698,58.4258,57.1342,59.2,57.7157,55.4229,57.591,58.905,58.8394,59.8314,57.5418,58.6835,57.0208,58.5722,57.2019,57.5025,57.9837,56.4907,58.3539,55.7455,57.8447,58.2984,57.6761,56.6136,57.7088,58.5719,58.4647,57.4435,58.5954,57.1964,58.7315,58.1138,57.3957,57.1284,57.9143,57.4309,60.2174,58.0648,58.412,56.3365,58.02,58.4786,58.5747,59.3907,56.7603,56.7028,58.1135,56.47,Environment_2
G67,58.2039,58.8837,58.917,59.649,57.2332,58.0163,58.295,58.7727,58.1792,59.4346,58.3135,58.582,57.1117,59.259,57.6259,56.5123,58.0514,59.8348,57.7622,59.0812,57.2863,58.3169,57.6681,59.2413,59.7872,58.7219,58.1477,58.1383,58.4819,58.29,58.0707,58.7639,58.119,58.8891,58.5375,59.3354,58.8449,58.9447,58.2719,60.3561,57.309,56.6619,57.2169,57.8568,60.2117,57.8111,59.1859,57.6415,58.9533,56.6789,59.2565,58.3752,58.1641,59.7074,57.2028,57.4144,58.4865,58.749,58.0904,58.8467,Environment_2
G68,57.4519,59.3027,59.4772,58.2908,59.2205,57.7764,57.6206,57.2234,59.3048,57.6175,57.1575,58.3772,57.4528,57.6818,58.6615,60.1019,56.5949,58.401,59.5368,57.0361,58.5879,56.7852,59.2694,58.0418,58.5161,58.4799,57.8583,57.9554,58.0089,59.175,59.4404,59.0424,57.948,58.3829,57.5097,56.822,58.2514,58.1958,59.1179,57.8397,58.1218,58.7367,57.6974,59.7393,58.5534,58.0782,59.3618,57.9956,58.467,59.6973,57.8624,57.8602,57.0133,57.8068,55.7285,57.1052,57.254,57.3106,58.2142,58.3315,Environment_2
G69,57.6894,57.2043,56.8779,58.3155,57.3402,57.9954,58.6607,57.5022,57.7831,57.3985,56.3952,55.8404,56.6362,57.6746,57.7333,56.5841,57.2449,56.9716,56.8085,58.2058,56.6932,57.0123,58.6061,58.7211,56.5508,58.2034,57.6972,56.7415,57.8771,56.0449,56.4203,56.7443,57.1544,56.9302,57.757,57.579,56.9749,57.5746,56.9793,56.8192,56.4383,56.5916,57.6678,56.653,57.3191,57.5425,58.9005,57.4889,58.047,56.5178,57.035,58.3312,58.535,57.3496,56.3732,56.5469,55.8249,57.4365,56.9785,58.3807,Environment_2
G70,56.433,59.8387,57.3883,57.2755,57.3578,57.8443,57.2891,55.7277,58.0142,57.7575,57.2234,57.6774,56.9798,59.0184,59.776,57.2363,56.7974,57.212,58.5752,57.1605,58.3099,59.5593,56.2572,60.0311,57.1772,58.1663,58.7869,57.6546,58.6148,58.1246,57.3036,57.0437,57.991,58.2455,59.0885,58.4162,56.1218,58.1412,58.4934,58.2672,57.0228,57.822,58.1734,59.0444,58.6098,57.5075,57.7887,57.8895,59.3156,55.6853,57.9935,57.8054,57.6632,57.1931,58.4699,58.8927,58.0777,57.1868,56.9415,56.5413,Environment_2
G71,56.5705,56.4234,58.8949,58.8111,58.0527,57.8,58.1811,57.8325,59.5139,56.8123,58.0613,59.115,59.3128,56.8228,58.9732,59.1611,59.1276,56.0753,58.5984,59.901,58.5967,58.6624,58.405,59.0019,58.239,57.332,59.7251,59.5173,57.7947,60.0949,57.7603,58.2542,58.5328,59.9201,57.3853,59.7742,60.2754,59.1171,58.3347,58.614,59.3824,56.885,58.5422,58.6473,59.14,58.7538,58.6357,59.8062,56.9931,58.1454,58.7069,58.4994,59.3132,56.7848,60.6564,59.1225,57.8507,58.0621,58.1368,58.5629,Environment_2
G72,57.5169,58.9502,59.9416,57.107,58.0725,58.174,57.4284,58.8445,56.9913,56.2556,58.4737,57.7128,57.1138,56.5796,58.5111,57.5566,57.3764,59.7939,57.2464,56.1317,57.0468,57.6812,57.1183,56.1761,58.0383,57.118,59.6479,57.5555,59.5179,57.268,57.4114,56.9734,57.7694,56.1955,56.0836,57.3663,56.7515,57.4804,57.5202,57.7022,57.2763,58.1201,57.2869,55.9592,58.7537,58.5225,56.3768,56.8233,57.1475,57.6236,58.1036,57.1183,58.5096,57.6504,57.037,58.3496,56.4972,57.5281,57.6209,57.0365,Environment_2
G73,59.2534,55.7412,57.3862,55.4957,57.1847,57.2901,57.7897,58.6872,57.8392,57.2608,57.807,56.2937,57.9412,57.525,57.6203,56.7276,57.4572,58.1291,59.0868,58.0355,56.8144,55.0464,56.9417,58.0688,58.2034,56.4686,56.2707,57.411,56.6268,58.4827,59.0765,56.5213,57.834,56.7951,59.0744,57.991,56.8658,56.3556,57.7612,57.4302,57.3293,55.579,57.6854,56.9207,57.2781,57.3691,56.9101,57.3397,56.2008,56.1773,59.2472,56.4206,57.632,57.6054,56.564,57.6835,56.5422,57.4751,56.6558,55.115,Environment_2
G74,58.93,59.2792,57.9042,58.334,56.3432,57.8808,58.4171,58.6446,58.9802,58.0248,58.2552,58.0162,58.5581,58.0306,57.3852,57.9455,59.3445,58.0862,57.7391,57.2489,59.7398,58.9541,57.9718,58.6613,58.8288,57.5438,58.0928,59.3263,58.7274,57.6688,57.2655,58.855,58.4837,57.7976,59.1922,58.7988,57.7087,58.4294,58.3202,58.7231,58.6052,58.124,58.2617,58.0243,58.2252,58.4872,58.1669,58.9874,59.9029,59.4097,58.117,56.4455,57.9372,59.3262,57.8038,58.9235,59.6171,58.2359,59.2733,59.786,Environment_2
G75,58.8452,58.6231,56.0022,57.8608,58.4352,57.0537,58.7156,57.8795,56.3277,57.8013,57.2847,57.6978,57.2995,57.8451,59.1709,57.1061,57.4788,58.7131,56.5386,58.6907,56.6161,57.2809,55.8696,57.225,57.7376,58.8526,58.1126,59.2232,56.0511,56.7845,57.8759,57.0497,58.397,58.0786,56.44,56.498,56.5528,58.1337,58.964,55.6552,57.8312,58.3483,57.7868,58.9676,55.2459,56.7072,57.8493,56.8213,57.3185,56.914,58.2695,59.0409,57.8966,57.6471,56.1656,58.7872,58.449,56.9929,58.5449,56.0424,Environment_2
G76,57.7227,56.9816,57.8391,58.0201,58.5879,58.8713,56.4382,56.5195,59.7221,57.3356,57.2915,59.4986,58.0074,56.8513,57.4774,58.1697,57.8157,57.507,56.9825,59.1049,56.3972,56.3367,57.1245,57.3758,55.5449,57.6557,57.3477,57.3021,56.3419,57.6639,57.551,56.2318,58.5175,57.3505,57.7686,57.6018,56.9108,56.9169,57.0641,56.6153,57.6678,57.107,56.9273,55.7208,56.472,57.1791,58.5444,56.7663,58.9326,57.8202,56.1475,55.9389,56.8379,56.854,57.3128,56.5406,56.8364,58.4823,59.2226,56.0896,Environment_2
